diff --git a/dist/practice/users.txt b/dist/practice/users.txt
new file mode 100644
index 0000000000000000000000000000000000000000..2aeae60ef3930346624db5740aacc4548f286ec4
--- /dev/null
+++ b/dist/practice/users.txt
@@ -0,0 +1,1001 @@
+Имя | Увлечения | Возраст | Профессия
+Ольга | [фотография] | 19 | инженер
+Дмитрий | [кодинг, чтение, садоводство] | 24 | разработчик
+Иван | [чтение, кулинария, путешествия] | 31 | учитель
+Татьяна | [кулинария, кодинг, чтение] | 32 | дизайнер
+Анна | [спорт, путешествия] | 45 | маркетолог
+Павел | [путешествия, спорт] | 24 | разработчик
+Ирина | [садоводство] | 56 | инженер
+Ольга | [кулинария, кодинг, шахматы] | 42 | разработчик
+Ирина | [путешествия, чтение, шахматы] | 54 | учитель
+Екатерина | [путешествия] | 36 | разработчик
+Владимир | [шахматы, путешествия, спорт] | 35 | дизайнер
+Ирина | [путешествия, кулинария, шахматы] | 31 | инженер
+Анна | [садоводство] | 52 | учитель
+Владимир | [шахматы, кодинг, чтение] | 35 | учитель
+Екатерина | [кулинария, чтение] | 20 | маркетолог
+Сергей | [садоводство] | 54 | маркетолог
+Владимир | [кулинария] | 59 | дизайнер
+Дмитрий | [кодинг, кулинария, фотография] | 33 | инженер
+Ирина | [садоводство, чтение, кодинг] | 32 | врач
+Ольга | [кодинг, кулинария, чтение] | 27 | врач
+Владимир | [кулинария, садоводство, чтение] | 42 | дизайнер
+Ольга | [шахматы, чтение, спорт] | 52 | инженер
+Татьяна | [кулинария] | 28 | дизайнер
+Анна | [кулинария, кодинг, шахматы] | 50 | разработчик
+Сергей | [чтение] | 27 | маркетолог
+Павел | [шахматы] | 49 | аналитик данных
+Наталья | [путешествия] | 33 | аналитик данных
+Иван | [спорт, путешествия, шахматы] | 49 | разработчик
+Светлана | [кодинг, путешествия] | 53 | врач
+Сергей | [шахматы, фотография, кулинария] | 37 | экономист
+Михаил | [путешествия] | 25 | учитель
+Павел | [фотография, чтение, кодинг] | 19 | учитель
+Мария | [шахматы] | 32 | разработчик
+Иван | [садоводство, путешествия] | 50 | учитель
+Дмитрий | [садоводство] | 54 | дизайнер
+Татьяна | [кодинг] | 30 | разработчик
+Ирина | [чтение, шахматы] | 45 | экономист
+Ольга | [шахматы, кодинг, чтение] | 21 | экономист
+Екатерина | [садоводство, путешествия, фотография] | 30 | учитель
+Анна | [путешествия] | 35 | дизайнер
+Михаил | [чтение] | 53 | разработчик
+Иван | [садоводство, фотография] | 33 | врач
+Сергей | [кодинг] | 43 | аналитик данных
+Алексей | [кулинария, фотография] | 42 | инженер
+Светлана | [фотография, чтение] | 27 | учитель
+Мария | [садоводство] | 38 | аналитик данных
+Анна | [путешествия] | 21 | разработчик
+Иван | [фотография] | 33 | экономист
+Мария | [шахматы, спорт] | 57 | разработчик
+Сергей | [кулинария] | 60 | маркетолог
+Владимир | [шахматы, кодинг] | 26 | инженер
+Иван | [путешествия, чтение, кулинария] | 18 | дизайнер
+Сергей | [шахматы] | 50 | инженер
+Иван | [спорт, фотография] | 33 | маркетолог
+Наталья | [кулинария, шахматы, чтение] | 57 | аналитик данных
+Дмитрий | [спорт] | 34 | разработчик
+Николай | [шахматы, путешествия, садоводство] | 36 | учитель
+Николай | [чтение, садоводство] | 50 | дизайнер
+Татьяна | [шахматы] | 35 | аналитик данных
+Дмитрий | [садоводство] | 58 | инженер
+Татьяна | [путешествия] | 53 | аналитик данных
+Дмитрий | [спорт, фотография] | 52 | аналитик данных
+Дмитрий | [чтение, спорт] | 20 | инженер
+Сергей | [кодинг, кулинария] | 33 | разработчик
+Дмитрий | [кодинг] | 33 | врач
+Алексей | [фотография, спорт] | 29 | маркетолог
+Анна | [садоводство] | 24 | экономист
+Екатерина | [кулинария, кодинг] | 30 | дизайнер
+Екатерина | [фотография, садоводство, спорт] | 32 | аналитик данных
+Николай | [кодинг, шахматы] | 22 | инженер
+Павел | [спорт, кулинария] | 19 | разработчик
+Николай | [кодинг, спорт, шахматы] | 20 | разработчик
+Павел | [фотография, спорт] | 45 | разработчик
+Мария | [фотография, спорт, садоводство] | 45 | аналитик данных
+Иван | [шахматы, садоводство, чтение] | 60 | маркетолог
+Наталья | [кодинг, спорт, фотография] | 50 | инженер
+Наталья | [кодинг] | 53 | врач
+Владимир | [чтение, спорт] | 29 | инженер
+Наталья | [шахматы, фотография, кодинг] | 31 | экономист
+Михаил | [спорт, шахматы, чтение] | 31 | дизайнер
+Наталья | [фотография] | 50 | маркетолог
+Наталья | [чтение] | 32 | учитель
+Мария | [путешествия, фотография, кодинг] | 33 | дизайнер
+Сергей | [фотография, путешествия] | 42 | дизайнер
+Алексей | [спорт] | 24 | экономист
+Михаил | [садоводство] | 21 | учитель
+Дмитрий | [кодинг, садоводство] | 47 | маркетолог
+Михаил | [кулинария, кодинг] | 28 | дизайнер
+Екатерина | [садоводство, шахматы, путешествия] | 58 | инженер
+Николай | [кулинария, путешествия, спорт] | 46 | разработчик
+Павел | [спорт] | 38 | разработчик
+Екатерина | [фотография, чтение, садоводство] | 42 | врач
+Татьяна | [чтение, путешествия] | 39 | дизайнер
+Татьяна | [кодинг, фотография, чтение] | 42 | аналитик данных
+Ирина | [фотография, садоводство] | 37 | экономист
+Екатерина | [чтение, фотография] | 35 | экономист
+Павел | [спорт, кодинг, фотография] | 60 | экономист
+Дмитрий | [чтение, садоводство] | 57 | аналитик данных
+Татьяна | [чтение] | 26 | дизайнер
+Николай | [садоводство] | 42 | маркетолог
+Павел | [кодинг, спорт] | 39 | экономист
+Иван | [чтение, спорт, путешествия] | 48 | аналитик данных
+Иван | [фотография] | 59 | аналитик данных
+Сергей | [спорт] | 19 | врач
+Светлана | [фотография, садоводство, шахматы] | 60 | разработчик
+Николай | [путешествия, кодинг, садоводство] | 41 | врач
+Наталья | [кодинг, фотография] | 24 | аналитик данных
+Сергей | [кулинария] | 22 | учитель
+Ольга | [кодинг, шахматы] | 54 | аналитик данных
+Ирина | [кодинг] | 22 | маркетолог
+Светлана | [садоводство, шахматы] | 24 | экономист
+Дмитрий | [кулинария, садоводство, кодинг] | 45 | врач
+Светлана | [кулинария, спорт, путешествия] | 47 | экономист
+Иван | [садоводство] | 35 | дизайнер
+Владимир | [шахматы, путешествия] | 39 | аналитик данных
+Светлана | [шахматы, спорт] | 31 | маркетолог
+Николай | [фотография, чтение, путешествия] | 53 | аналитик данных
+Татьяна | [садоводство, шахматы, кодинг] | 49 | учитель
+Светлана | [кулинария] | 46 | аналитик данных
+Екатерина | [шахматы, фотография] | 43 | учитель
+Ирина | [садоводство, спорт] | 45 | маркетолог
+Наталья | [фотография] | 34 | учитель
+Павел | [фотография] | 25 | врач
+Светлана | [фотография] | 35 | инженер
+Наталья | [кулинария] | 32 | маркетолог
